Date,Close
01/03/2007,1416.599976
01/04/2007,1418.339966
01/05/2007,1409.709961
01/08/2007,1412.839966
01/09/2007,1412.109985
01/10/2007,1414.849976
01/11/2007,1423.819946
01/12/2007,1430.72998
01/16/2007,1431.900024
01/17/2007,1430.619995
01/18/2007,1426.369995
01/19/2007,1430.5
01/22/2007,1422.949951
01/23/2007,1427.98999
01/24/2007,1440.130005
01/25/2007,1423.900024
01/26/2007,1422.180054
01/29/2007,1420.619995
01/30/2007,1428.819946
01/31/2007,1438.23999
02/01/2007,1445.939941
02/02/2007,1448.390015
02/05/2007,1446.98999
02/06/2007,1448
02/07/2007,1450.02002
02/08/2007,1448.310059
02/09/2007,1438.060059
02/12/2007,1433.369995
02/13/2007,1444.26001
02/14/2007,1455.300049
02/15/2007,1456.810059
02/16/2007,1455.540039
02/20/2007,1459.680054
02/21/2007,1457.630005
02/22/2007,1456.380005
02/23/2007,1451.189941
02/26/2007,1449.369995
02/27/2007,1399.040039
02/28/2007,1406.819946
03/01/2007,1403.170044
03/02/2007,1387.170044
03/05/2007,1374.119995
03/06/2007,1395.410034
03/07/2007,1391.969971
03/08/2007,1401.890015
03/09/2007,1402.839966
03/12/2007,1406.599976
03/13/2007,1377.949951
03/14/2007,1387.170044
03/15/2007,1392.280029
03/16/2007,1386.949951
03/19/2007,1402.060059
03/20/2007,1410.939941
03/21/2007,1435.040039
03/22/2007,1434.540039
03/23/2007,1436.109985
03/26/2007,1437.5
03/27/2007,1428.609985
03/28/2007,1417.22998
03/29/2007,1422.530029
03/30/2007,1420.859985
04/02/2007,1424.550049
04/03/2007,1437.77002
04/04/2007,1439.369995
04/05/2007,1443.76001
04/09/2007,1444.609985
04/10/2007,1448.390015
04/11/2007,1438.869995
04/12/2007,1447.800049
04/13/2007,1452.849976
04/16/2007,1468.329956
04/17/2007,1471.47998
04/18/2007,1472.5
04/19/2007,1470.72998
04/20/2007,1484.349976
04/23/2007,1480.930054
04/24/2007,1480.410034
04/25/2007,1495.420044
04/26/2007,1494.25
04/27/2007,1494.069946
04/30/2007,1482.369995
05/01/2007,1486.300049
05/02/2007,1495.920044
05/03/2007,1502.390015
05/04/2007,1505.619995
05/07/2007,1509.47998
05/08/2007,1507.719971
05/09/2007,1512.579956
05/10/2007,1491.469971
05/11/2007,1505.849976
05/14/2007,1503.150024
05/15/2007,1501.189941
05/16/2007,1514.140015
05/17/2007,1512.75
05/18/2007,1522.75
05/21/2007,1525.099976
05/22/2007,1524.119995
05/23/2007,1522.280029
05/24/2007,1507.51001
05/25/2007,1515.72998
05/29/2007,1518.109985
05/30/2007,1530.22998
05/31/2007,1530.619995
06/01/2007,1536.339966
06/04/2007,1539.180054
06/05/2007,1530.949951
06/06/2007,1517.380005
06/07/2007,1490.719971
06/08/2007,1507.670044
06/11/2007,1509.119995
06/12/2007,1493
06/13/2007,1515.670044
06/14/2007,1522.969971
06/15/2007,1532.910034
06/18/2007,1531.050049
06/19/2007,1533.699951
06/20/2007,1512.839966
